     ,Effective,   Sky  ,      Peak         ,      Average      ,   Peak    ,  Average  ,   Daily    ,Accumulated,       Peak      ,    Average     ,     Daily       ,   Accumulated   ,       Peak      ,      Average    ,       Daily      ,    Accumulated   ,  Panel    ,  Panel   , 9am  , 12pm 
Month, Daylight,Clearity,Solar Power Density,Solar Power Density,Solar Power,Solar Power,Solar Energy,Solar Energy,Electrical Power,Electrical Power,Electrical Energy,Electrical Energy,Hot Thermal Power,Hot Thermal Power,Hot Thermal Energy,Hot Thermal Energy,Temperature,Efficiency,Shadow,Shadow
     ,  hours  ,   %    , Watts/square meter, Watts/square meter,    MW     ,    MW     ,   MW-Day   ,   MW-Year  ,       MW       ,       MW       ,      MW-Day     ,      MW-Year    ,        MW       ,        MW       ,       MW-Day     ,       MW-Year    ,    degC   ,    %     ,   %  ,   %  
Jan,5.017,41.469,377.289,156.458,53.504,22.188,4.425,0.376,6.427,2.665,0.531,0.045,46.809,19.411,3.871,0.329,80,12.512,57.585,18.919
Feb,6.171,46.233,491.537,227.252,82.759,38.262,9.279,1.088,9.941,4.596,1.115,0.131,72.404,33.475,8.118,0.952,80,12.512,24.744,3.662
Mar,7.424,66.922,636.327,425.842,110.902,74.218,22.197,2.973,13.321,8.915,2.666,0.357,97.026,64.932,19.42,2.601,80,12.512,3.593,0
Apr,8.708,75.857,765.185,580.443,133.36,101.162,34.933,5.844,16.019,12.151,4.196,0.702,116.674,88.505,30.562,5.113,80,12.512,0,0
May,9.705,71.189,845.368,601.811,147.335,104.887,39.671,9.213,24.045,17.117,6.474,1.252,0,0,0,5.113,25,17,0,0
Jun,10.24,69.72,876.347,610.993,152.734,106.487,41.957,12.662,24.926,17.379,6.847,1.815,0,0,0,5.113,25,17,0,0
Jul,10.016,67.244,864.39,581.253,150.65,101.304,39.263,15.997,24.586,16.533,6.408,2.359,0,0,0,5.113,25,17,0,0
Aug,9.158,65.095,805.855,524.57,140.448,91.425,33.012,18.8,22.921,14.92,5.388,2.816,0,0,0,5.113,25,17,0,0
Sep,7.957,65.594,698.005,457.846,121.652,79.796,25.624,20.907,19.854,13.023,4.182,3.16,0,0,0,5.113,25,17,0.264,0
Oct,6.696,54.68,554.166,303.018,96.114,52.555,14.041,22.099,11.697,6.396,1.711,3.305,80.998,44.29,11.785,6.114,78.226,12.657,13.659,0.547
Nov,5.378,40.43,416.804,168.514,63.74,25.77,5.547,22.555,7.656,3.095,0.666,3.36,55.765,22.546,4.853,6.513,80,12.512,43.686,12.635
Dec,4.643,33.907,344.87,116.933,45.169,15.315,2.828,22.795,5.426,1.84,0.34,3.389,39.518,13.399,2.474,6.723,80,12.512,71.909,24.888
