Parameter                             ,Value,Unit
Latitude                              ,55.741,deg
Longitude                             ,13.263,deg
DataBase                              ,cmsafBin, 
Field Area                            ,24.294,Hectares
Field Utilization Factor              ,70.649,%
Panel Inclination Angle               ,10.0,deg
Panel Electrical Eff at 25C           ,17.0,%
Electrical Transmission Efficiency    ,96.0,%
Panel Electrical De-rating            ,0.0048,/degC
Start Day for Cold Panel              ,120
Stop Day for Cold Panel               ,273
Hot Panel Temperature                 ,80.0,degC
Cold Panel Temperature                ,25.0,degC
Panel Area                            ,17.428,Hectares
Peak Day                              ,172
Shadow on Peak Day                    ,0,%
Shadow Winter Solstice                ,26.38,%
Shadow on Vernal Equinox              ,0,%
Shadow on Autumnal Equinox            ,0,%
Peak Electrical Power on Peak Day     ,25,MW
Electrical Energy on Peak Day         ,6.894,MW-day
Yearly Electrical Energy              ,3.389,MW-Yr
Yearly Hot Thermal Energy             ,6.723,MW-Yr
Average Hot Thermal Daily Energy      ,11.575,MW-Day
,
